title,price_value,availability,link,collection,date_scraped
Caramel love,77.0,Épuisé,https://mysweetyskin.ma/products/caramel-love,Mikhmariyat,2025-10-04 03:01:38.853404
La vie est belle,77.0,Vente,https://mysweetyskin.ma/products/la-vie-est-belle,Mikhmariyat,2025-10-04 03:01:38.853404
Manifesto,77.0,Vente,https://mysweetyskin.ma/products/manifesto-1,Mikhmariyat,2025-10-04 03:01:38.853404
Divine,77.0,Vente,https://mysweetyskin.ma/products/divine-1,Mikhmariyat,2025-10-04 03:01:38.853404
Cristal Noir,77.0,Vente,https://mysweetyskin.ma/products/cristal-noir-1,Mikhmariyat,2025-10-04 03:01:38.853404
Badee Al Oud Sublime,77.0,Vente,https://mysweetyskin.ma/products/badee-al-oud-sublime,Mikhmariyat,2025-10-04 03:01:38.853404
Milion Gold For Her,77.0,Vente,https://mysweetyskin.ma/products/milion-gold-for-her-1,Mikhmariyat,2025-10-04 03:01:38.853404
Miss Dior Cherie,77.0,Vente,https://mysweetyskin.ma/products/miss-dior-cherie-1,Mikhmariyat,2025-10-04 03:01:38.853404
Mon Paris,77.0,Vente,https://mysweetyskin.ma/products/mon-paris-1,Mikhmariyat,2025-10-04 03:01:38.853404
My Way,77.0,Vente,https://mysweetyskin.ma/products/my-way-1,Mikhmariyat,2025-10-04 03:01:38.853404
Si Armani,77.0,Vente,https://mysweetyskin.ma/products/si-passione,Mikhmariyat,2025-10-04 03:01:38.853404
So Élixir,77.0,Vente,https://mysweetyskin.ma/products/so-elixir-1,Mikhmariyat,2025-10-04 03:01:38.853404
Ana Abiyedh,77.0,Vente,https://mysweetyskin.ma/products/ana-abiyedh-1,Mikhmariyat,2025-10-04 03:01:38.853404
Bali Coconut Palm,77.0,Épuisé,https://mysweetyskin.ma/products/bali-coconut-palm-1,Mikhmariyat,2025-10-04 03:01:38.853404
Chance,77.0,Vente,https://mysweetyskin.ma/products/chance-1,Mikhmariyat,2025-10-04 03:01:38.853404
